noteId	internalNoteIntercept	internalNoteFactor1	scorerName	lowDiligenceNoteIntercept	lowDiligenceNoteFactor1	lowDiligenceNoteInterceptRound2	harassmentNoteIntercept	harassmentNoteFactor1
1797812880622125260	0.5530089	-0.50180495	MFCoreScorer	-0.78465766	4.2201834	-5.9414825	-1.0496113	4.6434093
1800897409071079905	0.52958107	0.010157171	MFCoreScorer	0.35835487	-0.6006678	-0.03619886	-0.9380627	1.0657133
1805149144128102866	0.56501275	-0.32733357	MFCoreScorer	-0.2959276	1.9141418	-3.610214	-0.6947871	1.6886108
1805319147993305507	0.38972425	-0.4622652	MFCoreScorer	-0.4153121	1.9790257	-2.61161	-0.13444291	1.6917555
1807756800416215300	0.16289361	0.6650402	MFCoreScorer	1.0406246	-1.1625236	0.85584813	-0.7229309	-1.0582463
1809601024124178673	0.349824	0.34794185	MFCoreScorer	0.19771816	0.41860297	0.067284286	-0.3803957	-0.28863457
1810277745672458596	0.55818635	-0.1760796	MFCoreScorer	0.05279196	0.80589676	-0.28015026	-0.7726705	1.2736447
1812041796207423715	0.37021852	0.07584762	MFCoreScorer	-0.013726378	-0.93554294	-0.66810125	-0.37354016	0.33900645
1813355559892165116	0.26083186	0.79922724	MFCoreScorer	0.41092348	-1.5905211	1.0035541	-0.018381668	-0.9980241
1816232140260139072	0.4245729	0.61641604	MFCoreScorer	0.18149161	-0.9141683	-0.31866908	-0.69029427	-0.70110345
1816426860617871438	0.58632326	-0.11413466	MFCoreScorer	-0.84696496	1.4886547	-4.0520325	-1.0815908	1.8537291
1817012168044478557	0.38172078	0.2358443	MFCoreScorer	-0.36570835	-0.5138359	-2.7044177	-0.59674543	0.5615145
1819992534514634871	0.5614743	-0.18134631	MFCoreScorer	-0.32535785	2.770007	-2.8044484	-0.7680801	1.5806916
1820408365719363629	0.5327846	-0.5924554	MFCoreScorer	-0.094289	5.841613	-3.2374442	-1.2985729	4.336313
1824200523924590885	-0.0056944527	-0.124545336	MFCoreScorer	0.21925363	-1.6598381	2.4212024		
1826488632603279539	0.27727604	0.5226661	MFCoreScorer	0.122146726	-1.1126766	0.91139674	-0.46560267	-0.6587464
1827251908614185163	0.19325835	0.9182564	MFCoreScorer	0.2103455	-1.0961446	-0.03299482	-0.55666614	-1.133012
1827632683960385762	0.36063415	0.3537885	MFCoreScorer	-0.042487	-1.0329651	0.42614892	-0.41765124	0.89601415
1829077982256013647	0.336518	0.6349291	MFCoreScorer	-0.40896216	-0.0060860333	-4.1275325	-0.8502197	-1.1677485
1833854713886097674	0.5769572	-0.21764812	MFCoreScorer	-0.73631394	2.601669	-3.749241	-1.5730363	2.1769497
1841656091169652752	0.5771179	-0.4278348	MFCoreScorer	-0.48613307	4.613799	-5.154211	-1.664765	3.2050667
1848266571397087489	0.50919396	-0.4767019	MFCoreScorer	-0.3111086	0.5897197	-2.5875134	-0.22151716	1.3015498
1848316189635719296	0.5248019	-0.17089684	MFCoreScorer	-0.7356187	0.8612461	-4.0368094	-0.8829989	1.6627944
1848934902408089635	0.44681272	-0.8190673	MFCoreScorer	0.16917986	4.1384277	-2.0379145	-0.3028494	4.262665
1849298433074745435	0.46292675	-0.4903462	MFCoreScorer	-0.078969784	2.678386	-2.0746627	-0.32392022	1.5359546
1853653615317307835	0.44115958	-0.7850424	MFCoreScorer	-0.01548463	2.6968946	-2.04223	-0.32145455	2.4633408
1858461082073153812	0.26322144	0.7854894	MFCoreScorer	0.15704186	-0.41615084	-0.68723667	-0.065514855	-1.0604738
1863454088240976028	0.3861165	-0.2837578	MFCoreScorer	-0.15152991	2.730688	-2.2767494	-0.5613101	1.3466158
1874796881043399158	0.5015516	-0.6422159	MFCoreScorer	-0.21893205	2.94764	-2.9181063	-0.7687449	3.1453645
1881518775788527749	0.4528963	-0.82737267	MFCoreScorer	-0.0065788277	5.8510714	-2.7352908	-0.65508515	2.8808584
1891367064864276750	0.24249008	0.32614884	MFCoreScorer	-0.053953942	-0.7085178	-1.7016001	0.58001	1.4945152
1891861890273509578	0.4591711	-0.5616405	MFCoreScorer	0.054615147	2.930566	-1.6400459	0.03460184	3.907773
1913403226776543679	0.51518756	-0.40128052	MFCoreScorer	-0.13289016	2.3343613	-2.5397334	-0.7414381	1.396647
1913420224906629529	0.55714554	-0.3995858	MFCoreScorer	-0.2696482	2.9914618	-3.7052188	-0.91539574	2.16407
1935119307127824812	0.4110023	0.34495085	MFCoreScorer	-0.5891051	1.1840546	-2.353957	-0.6355734	0.54765433
1935287995663532278	0.51870173	-0.11198241	MFCoreScorer	-0.57909125	1.4527117	-2.2248511	-0.4821607	1.0632958
1936240514573193422	0.59121615	-0.24281651	MFCoreScorer	-0.8634861	2.9295664	-4.8759804	-1.7665799	1.7933302
1959762906280808486	0.3672917	0.8445493	MFCoreScorer	0.12259292	-1.0595589	0.32462054	-0.6207136	-0.84105
1960981803948499044	0.35684404	-0.035099413	MFCoreScorer	-0.35992837	0.7314083	-1.2805063	-0.1917565	0.6230381
1963050711178211394	0.5707893	-0.13429664	MFCoreScorer	-0.7018062	2.1385233	-3.7534215	-1.2246293	1.3702106
1971442593633534280	0.4733516	-0.2794515	MFCoreScorer	-0.059995994	1.9852004	-1.3462639	-0.7467756	1.3774929
1973965874634875166	0.5688139	-0.15710312	MFCoreScorer	-0.3736571	1.0308312	-2.1567192	-1.186596	0.6405139
1977893863667937560	0.51169723	-0.4319398	MFCoreScorer	-0.11374909	2.437558	-1.3029792	-0.60367024	2.2021303
1990955299935826043	-0.05008039	-0.0765005	MFCoreScorer	0.1599439	-0.699889	0.52625203	0.43012166	0.39616862
2010841426276598096	0.5043697	-0.11356466	MFCoreScorer	0.19968615	2.1912775	-1.0201653	-0.4173869	1.4188192
1722445908644708640	0.5170391	-0.40726715	MFCoreScorer	-0.10044824	2.9705112	-1.8805954	-1.1837546	1.8423477
1733657721696854389	0.13942593	-0.7932642	MFCoreScorer	0.11594217	1.7730907	-0.120856225	-0.070714526	2.3322315
1745474885432881544	0.42756867	-0.008877873	MFCoreScorer	-0.32324728	0.4700787	-1.7920237	-0.33714283	0.0063458853
1777115694791884953	-0.23981448	0.023407903	MFCoreScorer	1.0567998	-1.7793359	2.4509504	3.09508	-1.6643977
